CITY, STATE, DEGREE, LAT, LON
Atlanta, GA,7, 33.762909,-84.422675
Boston, MA,4, 42.3601, -71.0589
Calgary, CA-BC,4,51.044270,-114.062019
Charleston, SC,3,32.7765,-79.9311
Chicago, IL,7,41.8781,-87.6298
Dallas, TX,6,32.7767,-96.7970
Denver, CO,9,39.7392,-104.9903
Duluth, MN,7,46.7867,-92.1005
El Paso, TX,6,31.7619,-106.4850
Helena, MT,7,46.5891,-112.0391
Houston, TX,4,29.7604,-95.3698
Kansas City, MO,8,39.0997,-94.5786
Las Vegas, NV,2,36.1699,-115.1398
Little Rock, AR,5,34.7465,-92.2896
Los Angeles, CA,5,34.0522,-118.2437
Miami, FL,3,25.7617,-80.1918
Montreal, CA-QC,5,45.5017,-73.5673
Nashville, TN,5,36.1627,-86.7816
New Orleans, LA,5,29.9511,-90.0715
New York, NY,7,40.7128,-74.0060
Oklahoma City, OK,8,35.4676,-97.5164
Omaha, NE,7,41.2565,-95.9345
Phoenix, AZ,4,33.4484,-112.0740
Pittsburgh, PA,9,40.4406,-79.9959
Portland, OR,5,45.5051,-122.6750
Raleigh, NC,7,35.7796,-78.6382
Saint Louis, MO,7,38.6270,-90.1994
Salt Lake City, UT,7,40.7608,-111.8910
San Francisco, CA,6,37.7749,-122.4194
Santa Fe, NM,4,35.6870,-105.9378
Sault St Marie, MI,4,46.5136,-84.3358
Seattle, WA,6,47.6062,-122.3321
Toronto, CA-ON,5,43.6532,-79.3832
Vancouver, BC,3,49.2827,-123.1207
Washington, DC,5,38.9072,-77.0369
Winnipeg, CA-MB,4,49.8951,-97.1384
